k 	 N_x 	 N_y 	 N_z 
-3.141592653589793 	 (0.9999243726633116+0j) 	 (-0.01229833134545095-2.1847361856408848e-17j) 	 (5.092876373445979e-10+0j)
-2.0943951023931953 	 (0.7678716070452375+0j) 	 (0.6406037738678751+1.8559420049472135e-17j) 	 (6.457158419070907e-10+0j)
-1.0471975511965974 	 (-0.7678716070452377+0j) 	 (0.6406037738678747+2.7427523407081362e-17j) 	 (6.457158419070907e-10+0j)
4.440892098500626e-16 	 (-0.9999243726633119+0j) 	 (-0.012298331345450988+1.2323154070994302e-17j) 	 (5.092873228853103e-10+0j)
1.0471975511965983 	 (-0.7678716070452376+0j) 	 (0.6406037738678753-1.3789100327236378e-17j) 	 (6.457159529293932e-10+0j)
2.0943951023931957 	 (0.7678716070452377+0j) 	 (0.6406037738678748-2.7427523407081362e-17j) 	 (6.457157863959395e-10+0j)
