k 	 N_x 	 N_y 	 N_z 
-3.141592653589793 	 (0.9999243726633117+0j) 	 (-0.01229833134545105+1.521810553385119e-17j) 	 (4.750947410817313e-10+0j)
-2.0943951023931953 	 (0.7678716070452376+0j) 	 (0.6406037738678753-4.783850781446769e-19j) 	 (6.023632148632885e-10+0j)
-1.0471975511965974 	 (-0.7678716070452379+0j) 	 (0.6406037738678747-9.04582269996302e-18j) 	 (6.023632981300153e-10+0j)
4.440892098500626e-16 	 (-0.9999243726633117+0j) 	 (-0.012298331345450959-1.521810553385119e-17j) 	 (4.750947422201435e-10+0j)
1.0471975511965983 	 (-0.7678716070452376+0j) 	 (0.6406037738678754+4.783850781446769e-19j) 	 (6.02363103840986e-10+0j)
2.0943951023931957 	 (0.7678716070452383+0j) 	 (0.6406037738678747+1.8570030478070718e-17j) 	 (6.023630483298348e-10+0j)
