k 	 E 
-3.141592653589793 	 (-0.13715636687763805+0j)
-2.0943951023931953 	 (-0.04591690211632671+6.938893903907228e-18j)
-1.0471975511965974 	 (-0.04591690211632682+0j)
4.440892098500626e-16 	 (-0.13715636687763805-6.505213034913027e-19j)
1.0471975511965983 	 (-0.0459169021163266+0j)
2.0943951023931957 	 (-0.04591690211632676+0j)
