k 	 N_x 	 N_y 	 N_z 
-3.141592653589793 	 (0.9999243726633116+0j) 	 (-0.01229833134545096-1.709474701069833e-17j) 	 (-4.5791912598488853e-10+0j)
-2.0943951023931953 	 (0.7678716070452375+0j) 	 (0.6406037738678751+2.3015543043263303e-17j) 	 (-5.805867453467783e-10+0j)
-1.0471975511965974 	 (-0.7678716070452377+0j) 	 (0.6406037738678745+2.297140031701978e-17j) 	 (-5.80586551057749e-10+0j)
4.440892098500626e-16 	 (-0.9999243726633116+0j) 	 (-0.01229833134545097+1.710068407030114e-17j) 	 (-4.5791939414874337e-10+0j)
1.0471975511965983 	 (-0.7678716070452375+0j) 	 (0.6406037738678753-2.3015543043263303e-17j) 	 (-5.805868008579296e-10+0j)
2.0943951023931957 	 (0.7678716070452379+0j) 	 (0.6406037738678748+9.546279234096507e-18j) 	 (-5.805868563690808e-10+0j)
