k 	 N_x 	 N_y 	 N_z 
-3.141592653589793 	 (0.9999243726633117+0j) 	 (-0.012298331345450938-3.546043639830115e-18j) 	 (4.3258069802804607e-10+0j)
-2.0943951023931953 	 (0.7678716070452377+0j) 	 (0.6406037738678753-5.199128675444953e-18j) 	 (5.484604714833807e-10+0j)
-1.0471975511965974 	 (-0.7678716070452384+0j) 	 (0.6406037738678747-1.3849286889233638e-17j) 	 (5.484604159722295e-10+0j)
4.440892098500626e-16 	 (-0.9999243726633117+0j) 	 (-0.012298331345450969+3.546043639830115e-18j) 	 (4.325806976350228e-10+0j)
1.0471975511965983 	 (-0.7678716070452377+0j) 	 (0.6406037738678755-1.302402332384721e-17j) 	 (5.484607767947125e-10+0j)
2.0943951023931957 	 (0.767871607045238+0j) 	 (0.6406037738678748+4.3250791068943424e-18j) 	 (5.48460526994532e-10+0j)
