k 	 N_x 	 N_y 	 N_z 
-3.141592653589793 	 (0.9999243726633114+0j) 	 (-0.012298331345450957+1.0985892055631356e-17j) 	 (-5.045402261944203e-10+0j)
-2.0943951023931953 	 (0.7678716070452378+0j) 	 (0.6406037738678755+2.05900571214395e-17j) 	 (-6.396970453348416e-10+0j)
-1.0471975511965974 	 (-0.767871607045238+0j) 	 (0.6406037738678746+2.539688623420318e-17j) 	 (-6.396967400235098e-10+0j)
4.440892098500626e-16 	 (-0.9999243726633114+0j) 	 (-0.012298331345451014-1.0985892055631356e-17j) 	 (-5.045402268855992e-10+0j)
1.0471975511965983 	 (-0.7678716070452373+0j) 	 (0.6406037738678753+2.145183030761213e-17j) 	 (-6.396965734900562e-10+0j)
2.0943951023931957 	 (0.767871607045238+0j) 	 (0.6406037738678748-2.539688623420318e-17j) 	 (-6.396968788013879e-10+0j)
