k 	 N_x 	 N_y 	 N_z 
-3.141592653589793 	 (0.9999243726633117+0j) 	 (-0.01229833134545102+3.5836759550769104e-18j) 	 (-4.5976152165993003e-10+0j)
-2.0943951023931953 	 (0.7678716070452378+0j) 	 (0.6406037738678756+5.938060451791927e-18j) 	 (-5.829226268350141e-10+0j)
-1.0471975511965974 	 (-0.767871607045238+0j) 	 (0.6406037738678747-2.009436161435878e-18j) 	 (-5.829228766351946e-10+0j)
4.440892098500626e-16 	 (-0.9999243726633117+0j) 	 (-0.012298331345451012-3.5836759550769104e-18j) 	 (-4.5976152156506234e-10+0j)
1.0471975511965983 	 (-0.7678716070452376+0j) 	 (0.6406037738678755-1.5478699970327596e-17j) 	 (-5.829230154130727e-10+0j)
2.0943951023931957 	 (0.7678716070452379+0j) 	 (0.6406037738678747+2.5002907841485726e-17j) 	 (-5.829227378573165e-10+0j)
